video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
qcIotzhNLDU,Hitesh Choudhary,Learn backend development with Prisma and mongodb | part 2,"Learn backend development with Prisma and mongodb | part 2
For code files and community learning for free:
https://courses.learncodeonline.in/learn/Prisma-backend-development-with-mongodb",,2022-08-20T18:14:08Z,6156,215,,16,PT41M,hd,false
IiqhMNPWGEs,Hitesh Choudhary,Learn backend development with Prisma and mongodb,"Learn backend development with Prisma and mongodb
For code files and community learning for free:
https://courses.learncodeonline.in/learn/Prisma-backend-development-with-mongodb",,2022-08-19T17:48:05Z,10896,515,,19,PT1H41M31S,hd,false
O6-6VfPBNjE,Hitesh Choudhary,Let's learn Tailwind | live,Let's learn tailwind live | read docs | enjoy music,,2022-08-19T08:23:51Z,8060,408,,17,PT1H20M44S,hd,false
nSbxyFQaLk8,Hitesh Choudhary,This will change ed-tech,"Now, anyone can make their school and teach online
Visit:
https://www.learnyst.com/

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['learnyst', 'teachable', 'thinkfic', 'LMS', 'teach online']",2022-08-17T04:22:34Z,11777,781,,31,PT42S,hd,false
6m0amaGV1ak,Hitesh Choudhary,Meet creator of FastAPI | Sebastián Ramírez Montaño,"Meet founder of FastAPI and get to know the thought process behind creation of FastAPI. 
Also, some regular developer talks",,2022-08-09T15:10:13Z,11004,406,,22,PT33M28S,hd,false
Wl_t3Qj_3rk,Hitesh Choudhary,Just another random live !,"Let's talk, just randomly",,2022-08-06T15:21:31Z,7781,405,,9,PT1H4M39S,hd,false
NCZwoMcgk50,Hitesh Choudhary,"Put your IMPACT, write more code | @iNeuron Intelligence","Write more code,
Build more stuff,
I WRITE CODE
I write code is a sentiment for coders.

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['iNeuron', 'machine learning', 'artificial intelligence', 'web development', 'mobile development', 'iOS', 'Android', 'Java', 'Javascript', 'blockchain', 'c programming', 'Data structure and algorithm', 'learncodeonline', 'LCO', 'software testing', 'cyber security', 'cloud', 'devops']",2022-08-03T17:17:24Z,25058,563,,50,PT33S,hd,false
JezatpCP9C0,Hitesh Choudhary,We are solving tech hiring problem next | FindCoder,"Where to find coder, at https://findcoder.io
Showcase your work, take part in online hackathons, find your coding duo or get inspired by other coder's work.

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['findcoder', 'tech jobs', 'hackathons', 'machine learning', 'javascript']",2022-08-01T06:55:41Z,10168,729,,50,PT8M5S,hd,false
Kr-2KprTbc0,Hitesh Choudhary,What the BUN | it's all about speed,"In this video, I've shown you how a SIMPLE WordPress Plugin will do for your website! With this easy tool at your fingertips in a matter of clicks, your page speed score will be over 90+.  https://hc.lco.dev/10web
WordPress websites are usually laggy by default, but with this handy speed optimizer installed and ready, you’ll replace 2 months of work with about 2 hours. And the results are truly worth it. With 10Web Booster, you’ll embed a number of technical optimization techniques into your WordPress website that will potentially serve as fuel for your website speed optimization. JS Minification, Image Optimization, CSS & HTML compression, Image Lazy Load the list goes on.. All the features you had to do manual work to implement are gonna right in front of your eyes.

COUPON CODE: HITESH10 (Use this code to get an additional discount)

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['Programming', 'LearnCodeOnline', 'javascript', 'wordpress', 'page-speed', '10web', 'wordpress hosting']",2022-07-20T16:44:47Z,12042,550,,34,PT12M13S,hd,false
Ji0lePu7NX0,Hitesh Choudhary,DSA for FAANG | System Design | Python | Javascript,"Learn DSA to prepare for MAANG interviews. Learn to code DSA problems in Python and in Javascript. Also, as a bonus, learn System design.
Check more details here:
https://hc.lco.dev/dsa
Bundle in LCO for DSA will be given to all users but it takes 2-3 days.
For any more details call at:
9538303385
8788503778
6260726925
9880055539
8660034247


Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['Data structures and algorithms', 'DSA with python', 'DSA with Javascript', 'system design', 'MAANG preparation', 'FAANG preparation', 'tech interview']",2022-07-20T09:37:20Z,13356,695,,75,PT5M15S,hd,false
7F2LkS3jpPA,Hitesh Choudhary,A really BIG announcement | remote jobs and LCO,"I have already answered a lot of possible question. Please be a good listener first and it will solve most of your doubts. 
Link to apply for remote role at LCO doubt support
https://forms.gle/c4LryVS1bsr2f5zY6
 Get LCO Pro here
https://hc.lco.dev/lcopro

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['Programming', 'LearnCodeOnline', 'python', 'javascript', 'machine learning', 'ai', 'aws', 'cloud']",2022-07-12T16:28:08Z,28278,1566,,149,PT9M59S,hd,false
