,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Video publish time,duration_converted,duration_converted_t,Avg_duration_sec,Engagement_ratio,view/subs_count
10,yopaUqfhQkQ,Hitesh Choudhary,Next Hackathon is at your home | 35000 cash prize,"Visit https://findcoder.io and take part in Pensil challenge


Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['Programming', 'hackathon', 'coders', 'machine learning', 'ai', 'coding challenge']",2022-08-27T05:30:19Z,8792,616,,28,PT4M24S,hd,False,2022-08-27,2022-09-12 00:04:24,00:04:24,264,0.0732484076433121,0.013609907120743035
11,a_zftgj0Ykg,Hitesh Choudhary,The journey of success transition,,,2022-08-22T09:29:23Z,7950,1003,,28,PT1M,hd,False,2022-08-22,2022-09-12 00:01:00,00:01:00,60,0.12968553459119497,0.012306501547987616
12,arYn3DJcicw,Hitesh Choudhary,Learn backend development with prisma and mongodb | part 3,"For code files and community learning for free:
https://courses.learncodeonline.in/learn/Prisma-backend-development-with-mongodb",,2022-08-22T07:22:18Z,4469,165,,8,PT46M38S,hd,False,2022-08-22,2022-09-12 00:46:38,00:46:38,2798,0.03871112105616469,0.006917956656346749
13,qcIotzhNLDU,Hitesh Choudhary,Learn backend development with Prisma and mongodb | part 2,"Learn backend development with Prisma and mongodb | part 2
For code files and community learning for free:
https://courses.learncodeonline.in/learn/Prisma-backend-development-with-mongodb",,2022-08-20T18:14:08Z,6156,215,,16,PT41M,hd,False,2022-08-20,2022-09-12 00:41:00,00:41:00,2460,0.03752436647173489,0.009529411764705882
14,IiqhMNPWGEs,Hitesh Choudhary,Learn backend development with Prisma and mongodb,"Learn backend development with Prisma and mongodb
For code files and community learning for free:
https://courses.learncodeonline.in/learn/Prisma-backend-development-with-mongodb",,2022-08-19T17:48:05Z,10896,515,,19,PT1H41M31S,hd,False,2022-08-19,2022-09-12 01:41:31,01:41:31,6091,0.049008810572687224,0.01686687306501548
15,O6-6VfPBNjE,Hitesh Choudhary,Let's learn Tailwind | live,Let's learn tailwind live | read docs | enjoy music,,2022-08-19T08:23:51Z,8060,408,,17,PT1H20M44S,hd,False,2022-08-19,2022-09-12 01:20:44,01:20:44,4844,0.05272952853598015,0.012476780185758514
16,nSbxyFQaLk8,Hitesh Choudhary,This will change ed-tech,"Now, anyone can make their school and teach online
Visit:
https://www.learnyst.com/

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['learnyst', 'teachable', 'thinkfic', 'LMS', 'teach online']",2022-08-17T04:22:34Z,11777,781,,31,PT42S,hd,False,2022-08-17,2022-09-12 00:00:42,00:00:42,42,0.06894794939288444,0.01823065015479876
17,6m0amaGV1ak,Hitesh Choudhary,Meet creator of FastAPI | Sebastián Ramírez Montaño,"Meet founder of FastAPI and get to know the thought process behind creation of FastAPI. 
Also, some regular developer talks",,2022-08-09T15:10:13Z,11004,406,,22,PT33M28S,hd,False,2022-08-09,2022-09-12 00:33:28,00:33:28,2008,0.038894947291893855,0.01703405572755418
18,Wl_t3Qj_3rk,Hitesh Choudhary,Just another random live !,"Let's talk, just randomly",,2022-08-06T15:21:31Z,7781,405,,9,PT1H4M39S,hd,False,2022-08-06,2022-09-12 01:04:39,01:04:39,3879,0.05320652872381442,0.012044891640866874
19,NCZwoMcgk50,Hitesh Choudhary,"Put your IMPACT, write more code | @iNeuron Intelligence","Write more code,
Build more stuff,
I WRITE CODE
I write code is a sentiment for coders.

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['iNeuron', 'machine learning', 'artificial intelligence', 'web development', 'mobile development', 'iOS', 'Android', 'Java', 'Javascript', 'blockchain', 'c programming', 'Data structure and algorithm', 'learncodeonline', 'LCO', 'software testing', 'cyber security', 'cloud', 'devops']",2022-08-03T17:17:24Z,25058,563,,50,PT33S,hd,False,2022-08-03,2022-09-12 00:00:33,00:00:33,33,0.024463245270971348,0.038789473684210526
